age,edu_level,fav_animals,fav_place,gender,experience,industry,motivation,Cluster,Cluster_Description
25-34,Wyższe,Koty,W górach,Kobieta,Powyżej 10 lat,Usługi,Nowa kariera,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
25-34,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Kadry (HR),Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
55-64,Wyższe,Inne,,Mężczyzna,Powyżej 10 lat,Chemia,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Średnie,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Hotelarstwo,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Koty,Nad wodą,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Polecenie znajomych,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Średnie,Inne,Inne,Mężczyzna,Powyżej 10 lat,Kadry (HR),Rozwój osobisty,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Średnie,Koty,Inne,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Średnie,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Motoryzacja,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Średnie,Inne,W górach,Mężczyzna,Powyżej 10 lat,Kadry (HR),Rozwój osobisty,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Nowa kariera,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Średnie,Psy,W górach,Mężczyzna,1-2,Ochrona środowiska,Rozwój osobisty,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,R&D,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Polecenie znajomych,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Psy,W górach,,6-10,Marketing,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Brak ulubionych,W lesie,Mężczyzna,Powyżej 10 lat,Logistyka i Transport,Polecenie znajomych,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Średnie,Psy,Nad wodą,Kobieta,6-10,Bezrobotny,Polecenie znajomych,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
45-54,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Nieruchomości,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Średnie,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Większe zarobki,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Inne,W górach,Mężczyzna,3-5,Pomoc Społeczna,Pasja,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Nieruchomości,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
unknown,Wyższe,Brak ulubionych,,,Powyżej 10 lat,Architektura,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
>=65,Wyższe,Brak ulubionych,W górach,Kobieta,Powyżej 10 lat,Energetyka zawodowa,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Brak ulubionych,W górach,Kobieta,6-10,Budowlana,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Inne,W lesie,Kobieta,Powyżej 10 lat,Automatyzacja,Polecenie znajomych,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
25-34,Wyższe,Psy,Inne,Kobieta,1-2,Logistyka,Pasja,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
18-24,Wyższe,Brak ulubionych,W górach,Mężczyzna,Powyżej 10 lat,Edukacja,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Produkcja,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Średnie,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Transport,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
55-64,Wyższe,Psy,W górach,Mężczyzna,6-10,Automatyzacja,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Logistyka i Transport,Pasja,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,W lesie,Mężczyzna,6-10,IT,Nowa kariera,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Inne,Nad wodą,Mężczyzna,Powyżej 10 lat,Budowlana,Nowa kariera,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Gastronomia,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
